tema,artista,album,albumId,cover
A rodar mi vida,Fito Paez,El Amor Después del Amor,201571360,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/ca/06/19/ca061956-688a-56fc-845e-9df14c6fcf14/mzi.gpiharyr.jpg/300x300bb.jpg
Brillante sobre el mic,Fito Páez,El Amor Después del Amor,201571360,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/ca/06/19/ca061956-688a-56fc-845e-9df14c6fcf14/mzi.gpiharyr.jpg/300x300bb.jpg
Cable a tierra,Fito Páez,Giros,723789679,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/f6/96/cd/f696cd2b-adf5-0bb0-00e9-64989409b775/13UABIM42347.rgb.jpg/300x300bb.jpg
Ciudad de pobres corazones,Fito Páez,Ciudad de Pobres Corazones,723797966,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/01/63/d7/0163d79c-2e87-5dc1-d45c-290881dfea6b/13UABIM42555.rgb.jpg/300x300bb.jpg
El amor después del amor,Fito Páez,El Amor Después del Amor,201571360,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/ca/06/19/ca061956-688a-56fc-845e-9df14c6fcf14/mzi.gpiharyr.jpg/300x300bb.jpg
Fue amor,Fito Páez,Tercer Mundo,201533334,https://is1-ssl.mzstatic.com/image/thumb/Music/14/66/00/mzi.rjbkvlxb.jpg/300x300bb.jpg
Un vestido y un amor,Fito Páez,El Amor Después del Amor,201571360,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/ca/06/19/ca061956-688a-56fc-845e-9df14c6fcf14/mzi.gpiharyr.jpg/300x300bb.jpg
Learn to Fly,Foo Fighters,There Is Nothing Left to Lose,278229648,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ef/02/55/ef025575-aa1d-efc2-f789-04f592275b8a/888880335630.jpg/300x300bb.jpg
I Want to Know What Love Is,Foreigner,40,1220931014,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/4b/84/1a/4b841a6c-7f02-1a7d-2624-eff7690a8a7c/603497869589.jpg/300x300bb.jpg
Fly Me to the Moon,Frank Sinatra,A Man and His Music,1443165749,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/6c/8c/bd/6c8cbdd2-14c2-7e8d-f2ad-06634ce4a9ce/00602537565191.rgb.jpg/300x300bb.jpg
Relax,Frankie Goes to Hollywood,World of Dance: New Wave the 80's,1437592228,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/0b/7b/47/0b7b47ca-6cf8-3caa-ef57-1140c5a0f7a2/06UMGIM12011.rgb.jpg/300x300bb.jpg
Freed from Desire,Gala,Come Into My Life (The Album),1714234986,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/15/59/f9/1559f9a2-cfd8-99b8-60c0-5e313cedb77b/cover.jpg/300x300bb.jpg
Careless Whisper,George Michael / Wham!,Make It Big,193084944,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/ee/49/ac/ee49accc-78bd-bcdb-1aff-c40c1ac3ccc4/074643959520.jpg/300x300bb.jpg
Mi historia entre tus dedos,Gianluca Grignani,Il giorno perfetto,1443851250,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/a9/ab/10/a9ab10bd-aa38-e8a6-3551-329333dd018a/00731453893627.rgb.jpg/300x300bb.jpg
Paisaje,Gilda,Corazón Valiente,292168213,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/02/7e/39/027e390e-9cf3-c6aa-ca83-015d52035dfa/mzi.nbrevkxu.tif/300x300bb.jpg
I Will Survive,Gloria Gaynor,The Replacements (Music from the Motion Picture),1443874802,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/69/9a/ce/699acedc-209e-4fca-de0f-ad4350523638/00030206618099.rgb.jpg/300x300bb.jpg
Basket Case,Green Day,International Superhits!,1160990427,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/bd/5d/0d/bd5d0d79-a26e-7dbb-3589-976bc18e3d7e/093624915652.jpg/300x300bb.jpg
Knockin' on Heaven's Door,Guns N' Roses,Use Your Illusion II,1389971138,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/db/8e/35/db8e356d-76e8-1e10-d7cb-87870bdbfad2/18UMGIM31437.rgb.jpg/300x300bb.jpg
Paradise City,Guns N' Roses,Can't Hardly Wait (Music from the Motion Picture),323716512,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/0f/85/f8/0f85f86b-c0c0-17eb-6c29-6eec9b6b4664/mzi.wmucjydb.jpg/300x300bb.jpg
Crimen,Gustavo Cerati,Infinito,997813556,https://is1-ssl.mzstatic.com/image/thumb/Music7/v4/05/e0/f0/05e0f060-77ad-5b78-6a32-48908b105b3e/886445264944.jpg/300x300bb.jpg
Candy,Iggy Pop,Brick By Brick,723674902,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/b4/73/7b/b4737be4-f365-7766-6454-d695fed1710d/13UABIM49327.rgb.jpg/300x300bb.jpg
